# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 2.500000e+01
# lRef        : 6.000000e-02
# Aref        : 6.000000e-05
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	4.217672e-08	1.403342e-02	5.435626e-12	4.217944e-08	-4.217400e-08
0.000181566   	9.418632e-02	3.458216e+01	4.352832e-01	3.118279e-01	1.234553e-01
0.000237656   	4.844893e-02	2.547393e+00	3.090479e-01	2.029729e-01	1.060750e-01
0.000293392   	3.071439e-02	2.365160e+00	4.723762e-01	2.669025e-01	2.054737e-01
0.000349691   	1.177071e-02	2.386148e+00	5.341087e-01	2.788251e-01	2.552837e-01
0.000406996   	3.609091e-03	2.453959e+00	5.811986e-01	2.942084e-01	2.869902e-01
0.000465547   	-1.131633e-02	2.505045e+00	6.176561e-01	2.975117e-01	3.201444e-01
0.000525497   	-2.491874e-02	2.559894e+00	6.524429e-01	3.013027e-01	3.511402e-01
0.000586926   	-3.796494e-02	2.617764e+00	6.823704e-01	3.032203e-01	3.791501e-01
0.000649898   	-5.311211e-02	2.661072e+00	7.136552e-01	3.037155e-01	4.099397e-01
0.000714439   	-6.619553e-02	2.706666e+00	7.372219e-01	3.024154e-01	4.348065e-01
0.000780603   	-7.325099e-02	2.739545e+00	7.617103e-01	3.076042e-01	4.541061e-01
0.000848373   	-7.792472e-02	2.784375e+00	7.918154e-01	3.179830e-01	4.738324e-01
0.000917677   	-8.288040e-02	2.824065e+00	8.295803e-01	3.319097e-01	4.976705e-01
0.000988447   	-9.163571e-02	2.845194e+00	8.689378e-01	3.428332e-01	5.261046e-01
0.00106062    	-1.014376e-01	2.870950e+00	9.164313e-01	3.567781e-01	5.596532e-01
0.00113413    	-1.102496e-01	2.885516e+00	9.537596e-01	3.666302e-01	5.871294e-01
0.00120898    	-1.188003e-01	2.902792e+00	9.887993e-01	3.755993e-01	6.131999e-01
0.00128516    	-1.285651e-01	2.918056e+00	1.028290e+00	3.855801e-01	6.427102e-01
0.00136263    	-1.374095e-01	2.937579e+00	1.071466e+00	3.983237e-01	6.731426e-01
0.00144137    	-1.441405e-01	2.945856e+00	1.109831e+00	4.107751e-01	6.990562e-01
0.00152135    	-1.491137e-01	2.949755e+00	1.145647e+00	4.237098e-01	7.219372e-01
0.00160256    	-1.539568e-01	2.947630e+00	1.187648e+00	4.398674e-01	7.477810e-01
0.00168497    	-1.585661e-01	2.956519e+00	1.233785e+00	4.583263e-01	7.754585e-01
0.00176854    	-1.614518e-01	2.956234e+00	1.270756e+00	4.739262e-01	7.968297e-01
0.00185328    	-1.644796e-01	2.961996e+00	1.310601e+00	4.908206e-01	8.197799e-01
0.00193918    	-1.674468e-01	2.952558e+00	1.348165e+00	5.066356e-01	8.415291e-01
0.00202624    	-1.711923e-01	2.949870e+00	1.399249e+00	5.284323e-01	8.708168e-01
0.00211443    	-1.742155e-01	2.940145e+00	1.450609e+00	5.510888e-01	8.995199e-01
0.00220375    	-1.754738e-01	2.926504e+00	1.504070e+00	5.765613e-01	9.275088e-01
0.00229417    	-1.755574e-01	2.925917e+00	1.561772e+00	6.053287e-01	9.564434e-01
0.00238565    	-1.746019e-01	2.913830e+00	1.615250e+00	6.330231e-01	9.822268e-01
0.00247816    	-1.726637e-01	2.899359e+00	1.675691e+00	6.651818e-01	1.010509e+00
0.00257164    	-1.706829e-01	2.881512e+00	1.734143e+00	6.963885e-01	1.037754e+00
0.00266604    	-1.676060e-01	2.867067e+00	1.797237e+00	7.310126e-01	1.066225e+00
0.0027613     	-1.637891e-01	2.852525e+00	1.863704e+00	7.680630e-01	1.095641e+00
0.00285736    	-1.583351e-01	2.839177e+00	1.926497e+00	8.049133e-01	1.121584e+00
0.00295417    	-1.520222e-01	2.814044e+00	1.986453e+00	8.412041e-01	1.145248e+00
0.00305166    	-1.446472e-01	2.799419e+00	2.045206e+00	8.779558e-01	1.167250e+00
0.00314978    	-1.372355e-01	2.784598e+00	2.105406e+00	9.154673e-01	1.189938e+00
0.00324848    	-1.284512e-01	2.775443e+00	2.161414e+00	9.522560e-01	1.209158e+00
0.00334772    	-1.200195e-01	2.772839e+00	2.217609e+00	9.887851e-01	1.228824e+00
0.00344751    	-1.107842e-01	2.768171e+00	2.281544e+00	1.029988e+00	1.251556e+00
0.00354772    	-1.011777e-01	2.747045e+00	2.333698e+00	1.065671e+00	1.268027e+00
0.00364839    	-9.143615e-02	2.744247e+00	2.392815e+00	1.104971e+00	1.287844e+00
0.00374941    	-8.133682e-02	2.741337e+00	2.455327e+00	1.146327e+00	1.309000e+00
0.00385073    	-7.004417e-02	2.734596e+00	2.507039e+00	1.183475e+00	1.323564e+00
0.00395229    	-5.781993e-02	2.721086e+00	2.555584e+00	1.219972e+00	1.335612e+00
0.00405404    	-4.606823e-02	2.720932e+00	2.609302e+00	1.258583e+00	1.350719e+00
0.00415592    	-3.357230e-02	2.725543e+00	2.660753e+00	1.296804e+00	1.363949e+00
0.00425786    	-2.036067e-02	2.722628e+00	2.705425e+00	1.332352e+00	1.373073e+00
0.00435983    	-6.967765e-03	2.722052e+00	2.752142e+00	1.369103e+00	1.383039e+00
0.00446179    	6.876888e-03	2.719877e+00	2.790398e+00	1.402076e+00	1.388322e+00
0.00456374    	2.101945e-02	2.718643e+00	2.838109e+00	1.440074e+00	1.398035e+00
0.00466565    	3.575581e-02	2.715882e+00	2.875300e+00	1.473406e+00	1.401894e+00
